,,,,,,,,,,,,,,,,,,,,
Start time (UTC)/yyyy-mm-dd,Start time (UTC)/hh:mm:ss,Duration/h:mm:ss,Pkt loss/fraction/×10-2,Total and fraction of traffic/IPv4/pkts,Total and fraction of traffic/IPv4/×10-2,Total and fraction of traffic/IPv6/pkts,Total and fraction of traffic/IPv6/×10-4,Total and fraction of traffic/other/pkts,Total and fraction of traffic/other/×10-4,Mean transmission rate/pkts/s,Mean transmission rate/bits/s,Mean transmission rate/load,flows/s,Packet size (bytes)/IPv4/Mean,Packet size (bytes)/IPv4/Median,Packet size (bytes)/IPv6/Mean,Packet size (bytes)/IPv6/Median,Packet size (bytes)/CDF,Packet size (bytes)/data,Location
 2005-01-21 , 21:59:08 , +02:01:59 , 0.0 , 1570988706 , 99.99 , 86874 , 0.55 , 12.01 k , 0.08 , 214.63 k ,  926.95 M , 37.3 % ,  , 540 , 86 , 103 , 99 ,   graph ,   file ,oc48-paix (dirB)
 2005-01-13 , 21:59:07 , +02:01:59 , 0.0 , 1420020892 , 99.99 , 86976 , 0.61 , 12.22 k , 0.09 , 194.03 k ,  907.10 M , 36.5 % ,  , 584 , 110 , 103 , 99 ,   graph ,   file ,oc48-paix (dirB)
 2004-12-25 , 21:59:08 , +01:01:59 , 0.0 , 312311805 , 99.98 , 43527 , 1.39 , 6.10 k , 0.20 , 83.97 k ,  339.57 M , 13.6 % ,  , 506 , 64 , 103 , 99 ,   graph ,   file ,oc48-paix (dirB)
 2004-12-01 , 21:59:07 , +02:01:59 , 0.0 , 619299407 , 99.98 , 88455 , 1.43 , 11.97 k , 0.19 , 84.63 k ,  409.02 M , 16.4 % ,  , 604 , 136 , 106 , 111 ,   graph ,   file ,oc48-paix (dirB)
 2004-04-29 , 02:29:07 , +02:01:59 , 0.0 , 1147767225 , 99.94 , 494992 , 4.31 , 161.94 k , 1.41 , 156.89 k ,  869.46 M , 34.9 % ,  , 693 , 396 , 170 , 136 ,   graph ,   file ,oc48-paix (dirB)
 2004-04-22 , 02:59:07 , +02:01:59 , 0.0 , 1263012141 , 100.00 , 0 , 0.00 , 0 , 0.00 , 172.56 k ,  930.71 M , 37.4 % ,  , 674 , 343 , 0 , 0 ,   graph ,   file ,oc48-paix (dirB)
 2004-04-08 , 02:29:07 , +02:01:58 , 0.0 , 1088223345 , 99.96 , 465486 , 4.28 , 18.73 k , 0.17 , 148.75 k ,  836.01 M , 33.6 % ,  , 703 , 412 , 169 , 136 ,   graph ,   file ,oc48-paix (dirB)
 2004-03-17 , 17:59:08 , +02:01:59 , 0.0 , 1454733964 , 99.97 , 488703 , 3.36 , 11.93 k , 0.08 , 198.80 k ,  1.19 G , 48.0 % ,  , 751 , 576 , 163 , 144 ,   graph ,   file ,oc48-paix (dirB)
 2004-01-22 , 22:00:00 , +00:59:59 , 0.0 , 412774104 , 97.93 , 219962 , 5.22 , 8.50 M , 201.58 , 114.72 k ,  638.99 M , 25.7 % ,  , 697 , 436 , 164 , 136 ,   graph ,   file ,oc48-paix (dirB)
 2003-05-07 , 16:58:07 , +02:04:07 , 0.0 , 930395075 , 100.00 , 0 , 0.00 , 3.90 k , 0.04 , 124.92 k ,  648.24 M , 26.1 % ,  , 649 , 270 , 0 , 0 ,   graph ,   file ,oc48-paix (dirB)
 2003-05-07 , 07:00:00 , +47:59:59 , 0.0 , 4240607868 , 100.00 , 0 , 0.00 , 95.61 k , 0.23 , 24.54 k ,  106.27 M , 4.3 % ,  , 541 , 78 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirA)
 2003-04-24 , 07:00:00 , +00:59:59 , 0.0 , 84581389 , 100.00 , 0 , 0.00 , 0 , 0.00 , 23.49 k ,  95.29 M , 3.8 % ,  , 507 , 64 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirA)
 2003-01-15 , 17:59:34 , +01:01:59 , 0.0 , 219709440 , 100.00 , 0 , 0.00 , 0 , 0.00 , 59.07 k ,  321.57 M , 12.9 % ,  , 681 , 315 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirA)
 2002-08-14 , 16:00:00 , +07:59:59 , 0.0 , 2143712932 , 100.00 , 0 , 0.00 , 0 , 0.00 , 74.43 k ,  352.43 M , 14.2 % ,  , 592 , 205 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirA)
 2003-01-15 , 17:59:37 , +01:01:59 , 0.0 , 257097728 , 100.00 , 0 , 0.00 , 0 , 0.00 , 69.12 k ,  269.04 M , 10.8 % ,  , 487 , 59 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirB)
 2002-08-14 , 16:00:00 , +07:59:59 , 0.0 , 3307920809 , 100.00 , 0 , 0.00 , 0 , 0.00 , 114.86 k ,  594.47 M , 23.9 % ,  , 647 , 291 , 0 , 0 ,   graph ,   file ,oc48-mfn (dirB)
